Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,Encore,DJ Snake;Justin Bieber,2016-08-05,205946,90,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2025-11-07T06:37:10Z,,DJ Snake Def Jam,0.475,0.715,8.0,-5.371,1.0,0.058,0.0863,2.67e-05,0.135,0.159,199.892,4.0
spotify:track:20HZRDI3UDVcNeq5Lgb7DP,Ishq Main,Hulchul (Original Motion Picture Soundtrack),Shaan;Alka Yagnik,2004-10-21,288199,29,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2022-09-25T09:13:13Z,"bollywood,hindi pop,desi,desi pop,bangla pop",Ishtar Music Pvt. Ltd.,0.542,0.692,7.0,-9.762,1.0,0.156,0.344,0.0,0.131,0.679,78.946,4.0
spotify:track:6wL6ufct7tTP16hLeCb9xi,Saanwali Si Ek Ladki,Mujhse Dosti Karoge,Rahul Sharma;Udit Narayan;Anand Bakshi,2002-06-12,245629,51,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2022-09-25T09:13:13Z,"bollywood,hindi pop,desi",YRF Music,0.755,0.567,5.0,-12.727,0.0,0.0529,0.634,0.00115,0.281,0.692,113.978,4.0
spotify:track:0TK2YIli7K1leLovkQiNik,Señorita,Señorita,Shawn Mendes;Camila Cabello,2019-06-21,190960,81,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2025-10-04T08:33:48Z,,Island Records,0.759,0.54,9.0,-6.039,0.0,0.0287,0.037,0.0,0.0945,0.75,116.947,4.0
spotify:track:2jRxi58wdgBoeKl5w1k8uM,O Ajnabi - Sad Version,Main Prem Ki Diwani Hoon (Original Motion Picture Soundtrack),Chithra,2003-01-01,369191,36,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2022-09-25T09:13:13Z,,Rajshri Music,0.474,0.706,5.0,-6.963,1.0,0.0383,0.361,0.00599,0.105,0.51,120.367,4.0
spotify:track:6Bced39JHV3XanQlG76ZZL,Ek Dilruba Hai,Bewafaa (Original Motion Picture Soundtrack),Udit Narayan,2005-02-25,408840,60,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2022-09-25T09:13:13Z,"bollywood,hindi pop,desi",Tips Music Limited,0.76,0.565,5.0,-9.737,0.0,0.0489,0.239,2.35e-06,0.102,0.758,126.016,4.0
spotify:track:2qSkIjg1o9h3YT9RAgYN75,Espresso,Espresso,Sabrina Carpenter,2024-04-12,175459,86,True,31jgnbxervfj4mzb2hl5mdmyv4pu,2025-09-20T10:06:45Z,pop,Island Records,0.701,0.76,0.0,-5.478,1.0,0.0285,0.107,6.54e-05,0.185,0.69,103.969,4.0
spotify:track:2S6QwTRNS9yC84vOKebn3d,O Ajnabi - Happy Version,Main Prem Ki Diwani Hoon (Original Motion Picture Soundtrack),Chithra;KK,2003-01-01,402383,31,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2022-09-25T09:13:13Z,"bollywood,hindi pop,desi",Rajshri Music,0.564,0.651,5.0,-7.355,1.0,0.0418,0.439,8.69e-06,0.0652,0.389,136.428,4.0
spotify:track:70r85LQ7Hcof30PJmksilm,Chhaliya,Tashan,Vishal-Shekhar;Sunidhi Chauhan;Piyush Mishra;Anvita Dutt Guptan,2008-03-27,286093,63,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2022-09-25T09:13:13Z,"bollywood,desi,hindi pop,bhajan",YRF Music,0.806,0.806,5.0,-5.498,0.0,0.194,0.114,0.000183,0.429,0.733,97.999,4.0
spotify:track:2262bWmqomIaJXwCRHr13j,Sailor Song,Sailor Song,Gigi Perez,2024-07-26,211978,88,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2025-09-20T10:06:10Z,,Gigi Perez PS/ Island,0.494,0.413,11.0,-10.432,1.0,0.0254,0.682,6.72e-05,0.193,0.273,94.938,4.0
spotify:track:21zOwZNn9zzGXVLVsBqOG8,Ladka Yeh Kehta Hai,Main Prem Ki Diwani Hoon (Original Motion Picture Soundtrack),KK,2003-01-01,366383,36,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2022-09-25T09:13:13Z,"bollywood,hindi pop,desi",Rajshri Music,0.589,0.716,11.0,-6.361,0.0,0.116,0.174,1.62e-06,0.0298,0.456,112.613,4.0
spotify:track:7HBmRV1HWwStekSkct3sgm,Tu Saala,Golmaal Returns,Pritam;Anushka Manchanda,2008-09-24,209346,39,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2022-09-25T09:13:13Z,"bollywood,hindi pop,desi",T-Series,0.723,0.887,1.0,-6.926,1.0,0.0692,0.00988,0.0896,0.254,0.803,136.075,4.0
spotify:track:1w2RaCirzKxCuSaCWHYmI4,Kambakkht Ishq,Kambakkht Ishq,KK;Sunidhi Chauhan,2009-06-13,293106,0,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2022-09-25T09:13:13Z,"bollywood,hindi pop,desi",Eros Now Music,0.837,0.81,9.0,-4.412,1.0,0.0769,0.00246,0.00212,0.167,0.634,129.998,4.0
spotify:track:14mT8BCOXiUUcGlb7KujkT,I Think They Call This Love - Cover,I’ll Be Home For Christmas / I Think They Call This Love (Cover),Matthew Ifield,2024-11-28,196253,77,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2025-12-01T01:59:02Z,,EMI Recorded Music Australia Pty Ltd,0.39,0.556,0.0,-7.497,0.0,0.0312,0.68,0.00735,0.0982,0.566,104.457,3.0
spotify:track:5TgUA7EeMusDPjtnN26GuM,Apna Har Din,Golmaal 3,Pritam;Shaan;Anushka Manchanda,2010-10-09,265364,54,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2022-09-25T09:13:13Z,"bollywood,hindi pop,desi,desi pop,bangla pop",T-Series,0.778,0.861,8.0,-4.809,1.0,0.0838,0.08,1.15e-06,0.101,0.506,103.988,4.0
spotify:track:1144uoKqppbshaZLBTA6xE,Badi Mushkil - Lajja / Soundtrack Version,Lajja,Alka Yagnik,2001-01-01,363133,0,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2022-09-25T09:13:13Z,"bollywood,hindi pop,desi",Universal Music India Pvt Ltd.,0.796,0.707,11.0,-8.514,0.0,0.356,0.00687,0.000131,0.213,0.488,169.881,4.0
spotify:track:4VyRWQFlzDkelLyxPh4wqO,Zaalima,Zaalima,Anshu Gupta,2025-10-20,245510,20,False,312d5wchl73mqnoomnsbdksfnpte,2025-12-25T09:42:13Z,,Anshu Gupta,0.693,0.761,2.0,-7.781,1.0,0.0362,0.225,0.0,0.0827,0.624,98.02,4.0
spotify:track:1AhXEDyg2AbV7CAnyiAMvM,Mere Khwabon Mein,Dilwale Dulhania Le Jayenge,Lata Mangeshkar,1995-10-20,256440,63,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2022-09-25T09:13:13Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop",Saregama,0.621,0.512,7.0,-11.074,0.0,0.0547,0.634,0.0,0.0803,0.926,114.802,4.0
spotify:track:4RixtPhUXlci9ad4qIMj23,Kuch Kuch Hota Hai,Kuch Kuch Hota Hai (Original Motion Picture Soundtrack),Jatin-Lalit;Udit Narayan;Alka Yagnik,1998-08-19,297866,67,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2022-09-25T09:13:13Z,"bollywood,hindi pop,desi",Sony Music Entertainment India Pvt. Ltd.,0.547,0.554,7.0,-11.165,1.0,0.0374,0.602,0.000155,0.0735,0.848,91.386,4.0
spotify:track:5DaHHmsrY3Y4YZKHdQPCmw,Bhari Aankhein - Female Version,Bhari Aankhein (Female Version),Anshu Gupta;Lakshmi,2025-12-25,207640,16,False,312d5wchl73mqnoomnsbdksfnpte,2025-12-27T12:35:17Z,,Anshu Gupta,0.528,0.535,10.0,-11.262,0.0,0.0478,0.0726,6.37e-05,0.0811,0.36,150.259,4.0
spotify:track:2tO0QPdCA0jgDBshTuYYkc,Woh Ladki Hai Kahan,Dil Chahta Hai,Shaan;Kavita Krishnamurthy,2001-06-22,306133,66,False,31jgnbxervfj4mzb2hl5mdmyv4pu,2022-09-25T09:13:13Z,"bollywood,hindi pop,desi,desi pop,bangla pop,gujarati garba",T-Series,0.786,0.677,8.0,-8.624,1.0,0.183,0.172,0.000104,0.0446,0.858,94.985,4.0
